english,malayalam
Module III- VariationaI Problems Leading to an integral equation or a Differential-Difference Equation.,മൊഡ്യൂൾ iii വേരിയേഷണൽ പ്രശ്നങ്ങൾ ഒരു അവിഭാജ്യ സമവാക്യത്തിലേക്കോ വ്യത്യസ്തതയുള്ള സമവാക്യത്തിലേക്കോ നയിക്കുന്നു .
"From Hamilton’s priciple, one can derive another important principle, known as Hertz’s principle.This states that a particle (or a system) moving on a surface without external forces acting on it, follows a geodesic line.","ഹാമിൽട്ടന്‍റെ പ്രാപ്പിളിൽനിന്ന് , ഹെർട്ട്‌സിന്‍റെ തത്ത്വം എന്നറിയപ്പെടുന്ന മറ്റൊരു പ്രധാന തത്ത്വം ഉരുത്തിരിയാൻ കഴിയും.ഒരു കണിക ( അല്ലെങ്കിൽ സിസ്റ്റം ) ഒരു ബാഹ്യ ശക്തികൾ പ്രവർത്തിക്കാതെ ഉപരിതലത്തിലേക്ക് നീങ്ങുന്നതായി ഇത് പറയുന്നു , ജിയോഡെസിക് ലൈൻ പിന്തുടരുന്നു ."
"Thus to find extremals for I, one has to solve Euler's equation","അതുകൊണ്ട് എനിക്ക് അതിരുകള്‍ കണ്ടെത്തണമെങ്കില്‍, ഒരാള്‍ യൂളറുടെ സമവാക്യം പരിഹരിക്കണം ."
"where c does not depend on x. Equation (15) takes the place of Euler’s equation.Now since is differentiable with respect to x, it follows from (15) that also is differentiable.Hence Euler’s equation",സി x നെ ആശ്രയിക്കുന്നില്ല.ഇംഗ്ലീഷ് വിലാസം ( 15 ) അതിനാൽ eulers സമവാക്യവും ( 15 ) വ്യത്യാസപ്പെട്ടിരിക്കുന്നു .
"In a similar manner it can be shown that the differential equation for the displacement u(x, t) of a highly flexible and almost inexensible homogeneous string from its equilibrium position is","സമാനമായ രീതിയിൽ , വളരെ വഴക്കമുള്ളതും അല്ലാത്തതുമായ ഒരു ഹോമോജെനിബ്രിയസ് സ്ട്രിംഗിന് പകരമായി u ( x , t ) ഡിഫറൻഷ്യൽ സമവാക്യം കാണിക്കാം"
"Using Weirstrass form of Euler equations, we find that","വിർസ്ട്രാസ് രൂപത്തിലുള്ള യൂളർ സമവാക്യങ്ങൾ ഉപയോഗിച്ച്, അത് നമ്മൾ കണ്ടെത്തുന്നു"
"where the integration is along the line (1) and a dot denotes derivative with respect to t.In order that the values of functional (2) depend only on the line, and not on the parametrization (which can be accomplished in a number of ways), it is both necessary and sufficient that the integrand in (2) does not contain t explicitly and that it is homogeneous of the first degree in and .Thus","സംയോജനം ( 1 ) , ഒരു ഡോട്ട് എന്നിവ ടി.ഫങ്ഷണൽ ( 2 ) മൂല്യങ്ങൾ വരിയിൽ മാത്രം ആശ്രയിച്ചിരിക്കുന്നു , അല്ലാതെ പാരാമൈറ്റിസേഷനെ ആശ്രയിച്ചല്ല ( ഇത് പല രീതിയിൽ നിറവേറ്റാൻ കഴിയാത്തതും അനിവാര്യവുമാണ് )"
"it was assumed that the admissible functions admit of continuous first order derivative.However a varitational problem with integrand F(x, y, y’) is also meaningful when y’ is required to be only piecewise continuous.","തുടർച്ചയായ ആദ്യത്തെ ഓർഡർ ഉരുത്തിരിയുന്നതാണെന്ന് അംഗീകരിക്കാവുന്ന ഫംഗ്ഷനുകൾ അംഗീകരിക്കുന്നതായി കരുതുന്നു.എന്നിരുന്നാലും, ഇന്റഗ്രിറ്റിയും f (x, y, y) യും തമ്മിൽ വ്യത്യസ്തമായ ഒരു പ്രശ്നമുണ്ട് ."
"Applying the previous lemma, we obtain","മുമ്പത്തെ ലെമ്മയെ പ്രയോഗിക്കുന്നു , നമുക്ക് ലഭിക്കുന്നു"
Variational principles are of great scientific significance as they provide a unified approach to various mathematical and physical problems and yield fundamental exploratory ideas.The calculus of variations has its origin in the generalization of the elementary theory of maxima and minima of function of a single or more variables.Its object is to find extrema or stationary values of functional.,"വിവിധ ഗണിത, ഭൗതിക പ്രശ്നങ്ങൾക്ക് ഏകീകൃത സമീപനം നൽകുകയും അടിസ്ഥാന പര്യവേക്ഷണ ആശയങ്ങൾ നൽകുകയും ചെയ്യുന്നതിനാൽ വൈവിധ്യമാർന്ന തത്ത്വങ്ങൾക്ക് വലിയ ശാസ്ത്രീയ പ്രാധാന്യമുണ്ട്.ഒന്നോ അതിലധികമോ വേരിയബിളുകളുടെ ഫങ്ക്ഷനുകളുടെ മാക്സിമ ആൻഡ് മിനിമയുടെ പ്രാഥമിക സിദ്ധാന്തത്തിന്റെ സാമാന്യവൽക്കരണത്തിൽ നിന്നുമാണ് കാൽക്കുലസ് ഓഫ് വേരിയേഷന്സിന്റെ ഉത്ഭവം.പ്രവർത്തനത്തിന്റെ സ്ഥിരമായ മൂല്യങ്ങൾ കണ്ടെത്തുക എന്നതാണ് ഇതിന്റെ ലക്ഷ്യം ."
will be an extremum for fixed terminal times t1 and t2.,"സ്ഥിര ടെര്‍മിനല്‍ ടൈംസ് ടി1 , ടി2 എന്നിവയ്ക്ക് തീവ്രവാദം ആയിരിക്കും ."
This result can be generalized in the following mannner:,ഈ ഫലം ഇനിപ്പറയുന്ന മാന്നറിൽ ജനറലൈസ് ചെയ്യാം :
"But since is a homogeneous function of first degree and ,","പക്ഷെ ഒന്നാം ഡിഗ്രിയുടെയും പിന്നെ,"
holds for arbitrary continuous function satisfying the condition,സ്ഥിതിക്ക് സംതൃപ്തി നല്‍കുന്ന സ്ഥിരമായ പ്രവര്‍ത്തനത്തിന്
"For example, the area bounded by a closed curve given by is a functional which can be put in the form","ഉദാഹരണത്തിന് , ഒരു അടച്ച വളവ് നല്‍കിയ സ്ഥലം ഒരു ഫങ്ഷണല്‍ ആണ്"
"give , which shows that the extremals are circles.",അതിരുകൾ വൃത്തങ്ങളാണെന്ന് കാണിയ്ക്കുക .
"This is Hamiltons principle in its most general form, for a single particle.","ഇത് ഹാമിൽട്ടൺ തത്ത്വം അതിന്റെ ഏറ്റവും പൊതു രൂപത്തിൽ, ഒരൊറ്റ കണികയ്ക്ക് ."
"If is a piece wise continuous function in [a, b] and if","[a, b] ഒരു കഷ്ണം ജ്ഞാനപൂർവമായ പ്രവർത്തനം ആണെങ്കിൽ"
"where the integration is along the line (1) and a dot denotes derivative with respect to t.In order that the values of functional (2) depend only on the line, and not on the parametrization (which can be accomplished in a number of ways), it is both necessary and sufficient that the integrand in (2) does not contain t explicitly and that it is homogeneous of the first degree in and .Thus","സംയോജനം (1), ഒരു ഡോട്ട് എന്നിവ ടി.ഫങ്ഷണൽ (2) മൂല്യങ്ങൾ വരിയിൽ മാത്രം ആശ്രയിച്ചിരിക്കുന്നു, അല്ലാതെ പാരാമൈറ്റിസേഷനെ ആശ്രയിച്ചല്ല (ഇത് പല രീതിയിൽ നിറവേറ്റാൻ കഴിയാത്തതും അനിവാര്യവുമാണ്)"
